cCRE File,Biosample Slim,Biosample type,Organ,Biosample summary + donor,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig
ENCFF326EII.bed.gz,"CD8-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD8-positive,_alpha-beta_T_cell_female_adult_34_years_ENCDO579CCQ",ENCSR609DDQ,ENCFF326EII,---,---,---,---,---,---
ENCFF643OFE.bed.gz,frontal cortex,tissue,brain,Homo_sapiens_frontal_cortex_tissue_female_adult_67_years_and_female_adult_80_years_ENCDO312AAA,ENCSR000EIY,ENCFF643OFE,---,---,---,---,---,---
ENCFF158FWS.bed.gz,RPMI7951,cell line,epithelium; skin of body,Homo_sapiens_RPMI7951_ENCDO000ADL,ENCSR000EPV,ENCFF158FWS,---,---,---,---,---,---
ENCFF648LHT.bed.gz,hematopoietic multipotent progenitor cell,in vitro differentiated cells,blood; bodily fluid,Homo_sapiens_hematopoietic_multipotent_progenitor_cell_ENCDO937OUY,ENCSR098PTC,ENCFF648LHT,---,---,---,---,---,---
ENCFF178MHG.bed.gz,Ishikawa,cell line,uterus,Homo_sapiens_Ishikawa_treated_with_10_nM_17β-estradiol_for_30_minutes_ENCDO000ACV,ENCSR000EIO,ENCFF178MHG,---,---,---,---,---,---
ENCFF103RZR.bed.gz,GM18507,cell line,lymphoid tissue,Homo_sapiens_GM18507_ENCDO000ACG,ENCSR000EJI,ENCFF103RZR,---,---,---,---,---,---
ENCFF614XBI.bed.gz,putamen,tissue,brain,Homo_sapiens_putamen_tissue_male_adult_78_years_ENCDO317XRR,ENCSR493VDS,ENCFF614XBI,---,---,---,---,---,---
ENCFF416NBF.bed.gz,HT1080,cell line,connective tissue; epithelium,Homo_sapiens_HT1080_ENCDO033CRF,ENCSR000FDI,ENCFF416NBF,---,---,---,---,---,---
ENCFF832BVB_ENCFF350OLM_ENCFF781ZDY.bed.gz,B cell,primary cell,blood; bodily fluid,Homo_sapiens_B_cell_female_adult_27_years_ENCDO115AAA,ENCSR000EII,ENCFF832BVB,ENCSR000DQR,ENCFF350OLM,ENCSR000AUP,ENCFF781ZDY,---,---
ENCFF625OEG.bed.gz,K562,cell line,blood; bodily fluid,Homo_sapiens_K562_treated_with_500_μM_sodium_butyrate_for_72_hours_ENCDO000AAD,ENCSR000EKR,ENCFF625OEG,---,---,---,---,---,---
ENCFF594BSS.bed.gz,myotube,in vitro differentiated cells,musculature of body,Homo_sapiens_myotube_originated_from_skeletal_muscle_myoblast_ENCDO094AAA,ENCSR000EOP,ENCFF594BSS,---,---,---,---,---,---
ENCFF591TDF.bed.gz,GM03348,cell line,connective tissue; skin of body,Homo_sapiens_GM03348_genetically_modified_insertion_using_transduction_targeting_H._sapiens_MYOD1_ENCDO186AAA,ENCSR000EIR,ENCFF591TDF,---,---,---,---,---,---
ENCFF452URQ_ENCFF917JIG.bed.gz,B cell,primary cell,blood; bodily fluid,Homo_sapiens_B_cell_female_adult_43_years_ENCDO114AAA,ENCSR000EMJ,ENCFF452URQ,ENCSR878JSF,ENCFF917JIG,---,---,---,---
ENCFF561ETS.bed.gz,T-helper 2 cell,primary cell,blood; bodily fluid,Homo_sapiens_T-helper_2_cell_ENCDO287AAA,ENCSR000EQG,ENCFF561ETS,---,---,---,---,---,---
ENCFF529OOQ.bed.gz,glomerular endothelial cell,primary cell,epithelium; kidney; vasculature,Homo_sapiens_glomerular_endothelial_cell_ENCDO248AAA,ENCSR000EOM,ENCFF529OOQ,---,---,---,---,---,---
ENCFF516JHB_ENCFF337QRM.bed.gz,cardiovascular progenitor cell,in vitro differentiated cells,,"Homo_sapiens_cardiovascular_progenitor_cell_originated_from_H7_treated_with_5_ng/mL_Fibroblast_growth_factor_2_for_5_days,_10_ng/mL_Bone_morphogenetic_protein_4_for_5_days,_6_ng/mL_Activin_A_for_5_days_ENCDO221AAA",ENCSR000EMW,ENCFF516JHB,ENCSR000DSO,ENCFF337QRM,---,---,---,---
ENCFF382IJE.bed.gz,C803,cell line,epithelium; nose,Homo_sapiens_C803_ENCDO326AAA,ENCSR000ELI,ENCFF382IJE,---,---,---,---,---,---
ENCFF679SRM.bed.gz,hepatic stellate cell,primary cell,connective tissue; endocrine gland; exocrine gland; liver,Homo_sapiens_hepatic_stellate_cell_female_adult_59_years_ENCDO282AAA,ENCSR000ELR,ENCFF679SRM,---,---,---,---,---,---
ENCFF874PJM.bed.gz,middle frontal gyrus,tissue,brain,Homo_sapiens_middle_frontal_gyrus_tissue_male_adult_78_years_ENCDO317XRR,ENCSR318PRQ,ENCFF874PJM,---,---,---,---,---,---
ENCFF014IBC_ENCFF131HJZ_ENCFF412CXE.bed.gz,"CD4-positive, alpha-beta memory T cell",primary cell,blood; bodily fluid,"Homo_sapiens_with_multiple_sclerosis_CD4-positive,_alpha-beta_memory_T_cell_ENCDO187BUH",ENCSR977UMU,ENCFF014IBC,ENCSR486XJK,ENCFF131HJZ,ENCSR540XNK,ENCFF412CXE,---,---
ENCFF220VQO_ENCFF394XIU.bed.gz,mesodermal cell,in vitro differentiated cells,embryo,"Homo_sapiens_mesodermal_cell_originated_from_H7_treated_with_5_ng/mL_Fibroblast_growth_factor_2_for_2_days,_6_ng/mL_Activin_A_for_2_days,_10_ng/mL_Bone_morphogenetic_protein_4_for_2_days_ENCDO221AAA",ENCSR000EMX,ENCFF220VQO,ENCSR000DSE,ENCFF394XIU,---,---,---,---
ENCFF790XQN.bed.gz,"naive thymus-derived CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_naive_thymus-derived_CD4-positive,_alpha-beta_T_cell_ENCDO173AAA",ENCSR000EIF,ENCFF790XQN,---,---,---,---,---,---
ENCFF990JCB.bed.gz,GM04504,cell line,connective tissue; skin of body,Homo_sapiens_GM04504_ENCDO000AAJ,ENCSR000EMP,ENCFF990JCB,---,---,---,---,---,---
ENCFF633NER.bed.gz,hematopoietic multipotent progenitor cell,in vitro differentiated cells,blood; bodily fluid,"Homo_sapiens_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin-3_for_6_days,_kit_ligand_for_6_days,_hydrocortisone_succinate_for_6_days,_erythropoietin_for_6_days_ENCDO937OUY",ENCSR564JUY,ENCFF633NER,---,---,---,---,---,---
ENCFF091JLU.bed.gz,heart,tissue,heart,Homo_sapiens_heart_tissue_embryo_80_days_ENCDO662IIE,ENCSR804RSI,ENCFF091JLU,---,---,---,---,---,---
ENCFF129CHK.bed.gz,globus pallidus,tissue,brain,Homo_sapiens_globus_pallidus_tissue_male_adult_78_years_and_male_adult_84_years_ENCDO240JUB,ENCSR771DAX,ENCFF129CHK,---,---,---,---,---,---
ENCFF722YGX.bed.gz,pons,tissue,brain,Homo_sapiens_pons_tissue_male_adult_78_years_ENCDO317XRR,ENCSR829MXU,ENCFF722YGX,---,---,---,---,---,---
ENCFF705DDM.bed.gz,renal pelvis,tissue,kidney,Homo_sapiens_renal_pelvis_tissue_male_embryo_91_days_ENCDO375VTO,ENCSR580OAH,ENCFF705DDM,---,---,---,---,---,---
ENCFF483VJJ.bed.gz,muscle of leg,tissue,limb; musculature of body,Homo_sapiens_muscle_of_leg_tissue_male_embryo_96_days_ENCDO220PYT,ENCSR297ORG,ENCFF483VJJ,---,---,---,---,---,---
ENCFF569MJW_ENCFF557STL.bed.gz,foreskin keratinocyte,primary cell,epithelium; penis; skin of body,Homo_sapiens_foreskin_keratinocyte_male_newborn_ENCDO686OPO,ENCSR724CND,ENCFF569MJW,ENCSR703DFH,ENCFF557STL,---,---,---,---
ENCFF226ROM_ENCFF261DSX_ENCFF848DAV.bed.gz,foreskin melanocyte,primary cell,penis,Homo_sapiens_foreskin_melanocyte_male_newborn_ENCDO047TBB,ENCSR434OBM,ENCFF226ROM,ENCSR350JZR,ENCFF261DSX,ENCSR693VHX,ENCFF848DAV,---,---
ENCFF678ZGR.bed.gz,large intestine,tissue,intestine; large intestine,Homo_sapiens_large_intestine_tissue_male_embryo_113_days_ENCDO608XKS,ENCSR047FNH,ENCFF678ZGR,---,---,---,---,---,---
ENCFF632IWJ.bed.gz,left kidney,tissue,kidney,Homo_sapiens_left_kidney_tissue_male_embryo_87_days_ENCDO126IGB,ENCSR600RAA,ENCFF632IWJ,---,---,---,---,---,---
ENCFF490IDX.bed.gz,kidney,tissue,kidney,Homo_sapiens_kidney_tissue_female_embryo_108_days_ENCDO012PVK,ENCSR941DTJ,ENCFF490IDX,---,---,---,---,---,---
ENCFF390NQU.bed.gz,fibroblast of skin of right quadriceps,primary cell,skin of body,Homo_sapiens_fibroblast_of_skin_of_right_quadriceps_male_embryo_97_days_ENCDO576LXR,ENCSR217RVH,ENCFF390NQU,---,---,---,---,---,---
ENCFF841ILF_ENCFF173NSX_ENCFF004SRJ_ENCFF546ZNQ.bed.gz,colonic mucosa,tissue,colon; intestine; large intestine,Homo_sapiens_colonic_mucosa_tissue_female_adult_41_years_ENCDO575WHY,ENCSR994KTY,ENCFF841ILF,ENCSR574USP,ENCFF173NSX,ENCSR078LIZ,ENCFF004SRJ,ENCSR380WJL,ENCFF546ZNQ
ENCFF606BET_ENCFF517KZR_ENCFF334PSV.bed.gz,"CD8-positive, alpha-beta memory T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD8-positive,_alpha-beta_memory_T_cell_ENCDO976NED",ENCSR295UXT,ENCFF606BET,ENCSR624HJH,ENCFF517KZR,ENCSR546YQN,ENCFF334PSV,---,---
ENCFF277PYT.bed.gz,cerebellar cortex,tissue,brain,Homo_sapiens_cerebellar_cortex_tissue_male_adult_78_years_and_male_adult_84_years_ENCDO240JUB,ENCSR503HIB,ENCFF277PYT,---,---,---,---,---,---
ENCFF002ZNX.bed.gz,left lung,tissue,lung,Homo_sapiens_left_lung_tissue_female_embryo_110_days_ENCDO087TLK,ENCSR960EJV,ENCFF002ZNX,---,---,---,---,---,---
ENCFF793ZSS.bed.gz,kidney,tissue,kidney,Homo_sapiens_kidney_tissue_male_embryo_87_days_ENCDO443KWV,ENCSR262QJC,ENCFF793ZSS,---,---,---,---,---,---
ENCFF672MMS.bed.gz,renal pelvis,tissue,kidney,Homo_sapiens_renal_pelvis_tissue_male_embryo_127_days_ENCDO859GXV,ENCSR301RCD,ENCFF672MMS,---,---,---,---,---,---
ENCFF720KHC.bed.gz,small intestine,tissue,intestine; small intestine,Homo_sapiens_small_intestine_tissue_male_embryo_87_days_ENCDO443KWV,ENCSR970ZLG,ENCFF720KHC,---,---,---,---,---,---
ENCFF561LKS.bed.gz,muscle of arm,tissue,limb; musculature of body,Homo_sapiens_muscle_of_arm_tissue_male_embryo_115_days_ENCDO999JZG,ENCSR868XPR,ENCFF561LKS,---,---,---,---,---,---
ENCFF800AIM_ENCFF220LVT_ENCFF966FLQ.bed.gz,"CD8-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD8-positive,_alpha-beta_T_cell_male_adult_21_years_ENCDO190HXC",ENCSR020LUD,ENCFF800AIM,ENCSR796CSH,ENCFF220LVT,ENCSR007HLH,ENCFF966FLQ,---,---
ENCFF379NJY.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_male_embryo_108_days_ENCDO132ASK,ENCSR728BAD,ENCFF379NJY,---,---,---,---,---,---
ENCFF646IDT_ENCFF368YTZ_ENCFF206AKV.bed.gz,iPS DF 6.9,cell line,penis; skin of body; skin of prepuce of penis,Homo_sapiens_iPS_DF_6.9_ENCDO592CQV,ENCSR261SMF,ENCFF646IDT,ENCSR263ELQ,ENCFF368YTZ,ENCSR875QDS,ENCFF206AKV,---,---
ENCFF014GON.bed.gz,left kidney,tissue,kidney,Homo_sapiens_left_kidney_tissue_female_embryo_110_days_ENCDO087TLK,ENCSR974TXT,ENCFF014GON,---,---,---,---,---,---
ENCFF155NBN.bed.gz,left renal pelvis,tissue,kidney; ureter,Homo_sapiens_left_renal_pelvis_tissue_male_embryo_120_days_ENCDO327QNA,ENCSR320SVK,ENCFF155NBN,---,---,---,---,---,---
ENCFF019PQI.bed.gz,brain,tissue,brain,Homo_sapiens_brain_tissue_male_embryo_101_days_ENCDO148CGW,ENCSR572LDG,ENCFF019PQI,---,---,---,---,---,---
ENCFF621MQK.bed.gz,right lung,tissue,lung,Homo_sapiens_right_lung_tissue_male_embryo_96_days_ENCDO817EKT,ENCSR964VVW,ENCFF621MQK,---,---,---,---,---,---
ENCFF718WZF.bed.gz,small intestine,tissue,intestine; small intestine,Homo_sapiens_small_intestine_tissue_female_embryo_98_days_ENCDO328UKO,ENCSR565EBN,ENCFF718WZF,---,---,---,---,---,---
ENCFF785GPW_ENCFF089MQX_ENCFF621DMX.bed.gz,"naive thymus-derived CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_with_multiple_sclerosis_naive_thymus-derived_CD4-positive,_alpha-beta_T_cell_ENCDO553CCA",ENCSR875IVR,ENCFF785GPW,ENCSR878YHM,ENCFF089MQX,ENCSR474PYR,ENCFF621DMX,---,---
ENCFF835ERC.bed.gz,muscle of leg,tissue,limb; musculature of body,Homo_sapiens_muscle_of_leg_tissue_female_embryo_113_days_ENCDO676JUB,ENCSR272RQX,ENCFF835ERC,---,---,---,---,---,---
ENCFF617GYK_ENCFF588MYC.bed.gz,"common myeloid progenitor, CD34-positive",primary cell,bone element; bone marrow,"Homo_sapiens_common_myeloid_progenitor,_CD34-positive_male_adult_42_years_ENCDO459DTQ",ENCSR495INQ,ENCFF617GYK,ENCSR192GUR,ENCFF588MYC,---,---,---,---
ENCFF470KIN_ENCFF698IBI_ENCFF028QQB.bed.gz,immature natural killer cell,primary cell,bone element; bone marrow; lymph node; spleen; thymus,Homo_sapiens_immature_natural_killer_cell_ENCDO922TOC,ENCSR654LST,ENCFF470KIN,ENCSR578KKD,ENCFF698IBI,ENCSR442OSV,ENCFF028QQB,---,---
ENCFF477BAL.bed.gz,T-cell,primary cell,blood; bodily fluid,Homo_sapiens_T-cell_ENCDO685OXD,ENCSR040DGJ,ENCFF477BAL,---,---,---,---,---,---
ENCFF353UAY.bed.gz,CD14-positive monocyte,primary cell,blood; bodily fluid,Homo_sapiens_CD14-positive_monocyte_female_adult_34_years_ENCDO579CCQ,ENCSR695AUY,ENCFF353UAY,---,---,---,---,---,---
ENCFF246UXS.bed.gz,iPS DF 4.7,cell line,penis; skin of body; skin of prepuce of penis,Homo_sapiens_iPS_DF_4.7_ENCDO592CQV,ENCSR014FPY,ENCFF246UXS,---,---,---,---,---,---
ENCFF500AGZ_ENCFF118UUV_ENCFF192JYE.bed.gz,Karpas-422,cell line,blood; bodily fluid; lymph node,Homo_sapiens_Karpas-422_ENCDO354AAA,ENCSR019JDO,ENCFF500AGZ,ENCSR910XKX,ENCFF118UUV,ENCSR660IQS,ENCFF192JYE,---,---
ENCFF728MWG.bed.gz,dermis blood vessel endothelial cell,primary cell,blood vessel; epithelium; skin of body; vasculature,Homo_sapiens_dermis_blood_vessel_endothelial_cell_female_adult_ENCDO239AAA,ENCSR000ENX,ENCFF728MWG,---,---,---,---,---,---
ENCFF208PEH_ENCFF566FYS_ENCFF359DGK.bed.gz,small intestine,tissue,intestine; small intestine,Homo_sapiens_small_intestine_tissue_male_adult_34_years_ENCDO058AAA,ENCSR931UQB,ENCFF208PEH,ENCSR792IJA,ENCFF566FYS,ENCSR543CPW,ENCFF359DGK,---,---
ENCFF415VWC.bed.gz,muscle of back,tissue,musculature of body,Homo_sapiens_muscle_of_back_tissue_female_embryo_105_days_ENCDO863KZW,ENCSR585CGU,ENCFF415VWC,---,---,---,---,---,---
ENCFF839XJQ.bed.gz,muscle of back,tissue,musculature of body,Homo_sapiens_muscle_of_back_tissue_male_embryo_105_days_ENCDO171HMD,ENCSR357RED,ENCFF839XJQ,---,---,---,---,---,---
ENCFF687AAQ.bed.gz,glomerular visceral epithelial cell,primary cell,epithelium; kidney,Homo_sapiens_glomerular_visceral_epithelial_cell_child_3_years_ENCDO879VOF,ENCSR785BDQ,ENCFF687AAQ,---,---,---,---,---,---
ENCFF287XRW_ENCFF872FDO_ENCFF110SOE.bed.gz,neuronal stem cell,in vitro differentiated cells,embryo,Homo_sapiens_neuronal_stem_cell_originated_from_H1_ENCDO000AAW,ENCSR278FVO,ENCFF287XRW,ENCSR956CTX,ENCFF872FDO,ENCSR799SRL,ENCFF110SOE,---,---
ENCFF821MFF.bed.gz,left kidney,tissue,kidney,Homo_sapiens_left_kidney_tissue_male_embryo_96_days_ENCDO817EKT,ENCSR184DFF,ENCFF821MFF,---,---,---,---,---,---
ENCFF676EBG.bed.gz,adrenal gland,tissue,adrenal gland; endocrine gland,Homo_sapiens_adrenal_gland_tissue_female_embryo_113_days_ENCDO676JUB,ENCSR696XSJ,ENCFF676EBG,---,---,---,---,---,---
ENCFF619PTY.bed.gz,thymus,tissue,endocrine gland; immune organ; thymus,Homo_sapiens_thymus_tissue_female_embryo_ENCDO196CPA,ENCSR682PKY,ENCFF619PTY,---,---,---,---,---,---
ENCFF300EKW.bed.gz,dermis blood vessel endothelial cell,primary cell,blood vessel; epithelium; skin of body; vasculature,Homo_sapiens_dermis_blood_vessel_endothelial_cell_female_adult_ENCDO240AAA,ENCSR000ENY,ENCFF300EKW,---,---,---,---,---,---
ENCFF321TEC.bed.gz,epidermal melanocyte,primary cell,epithelium; skin of body,Homo_sapiens_epidermal_melanocyte_ENCDO264AAA,ENCSR000ELD,ENCFF321TEC,---,---,---,---,---,---
ENCFF631YPY.bed.gz,chorion,tissue,extraembryonic component,Homo_sapiens_chorion_tissue_ENCDO180AAA,ENCSR000EIL,ENCFF631YPY,---,---,---,---,---,---
ENCFF961NBX.bed.gz,psoas muscle,tissue,musculature of body,Homo_sapiens_psoas_muscle_tissue_male_adult_27_years_and_male_adult_35_years_ENCDO007AAA,ENCSR000ELO,ENCFF961NBX,---,---,---,---,---,---
ENCFF572PBN.bed.gz,T-helper 2 cell,primary cell,blood; bodily fluid,Homo_sapiens_T-helper_2_cell_female_adult_26_years_ENCDO288AAA,ENCSR000EQH,ENCFF572PBN,---,---,---,---,---,---
ENCFF874JLE.bed.gz,renal cortical epithelial cell,primary cell,epithelium; kidney,Homo_sapiens_renal_cortical_epithelial_cell_ENCDO098AAA,ENCSR000EOK,ENCFF874JLE,---,---,---,---,---,---
ENCFF737EDS.bed.gz,middle frontal area 46,tissue,brain,"Homo_sapiens_with_Alzheimer's_disease,_Cognitive_impairment_middle_frontal_area_46_tissue_male_adult_73_years_ENCDO059BOC",ENCSR306LNA,ENCFF737EDS,---,---,---,---,---,---
ENCFF110YMH.bed.gz,"naive thymus-derived CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_naive_thymus-derived_CD4-positive,_alpha-beta_T_cell_female_adult_35_years_ENCDO178AAA",ENCSR000EMM,ENCFF110YMH,---,---,---,---,---,---
ENCFF504BVV.bed.gz,kidney capillary endothelial cell,primary cell,blood vessel; epithelium; kidney; vasculature,Homo_sapiens_kidney_capillary_endothelial_cell_female_embryo_113_days_ENCDO987XTQ,ENCSR988YKR,ENCFF504BVV,---,---,---,---,---,---
ENCFF599TLO.bed.gz,frontal cortex,tissue,brain,Homo_sapiens_frontal_cortex_tissue_male_adult_27_years_and_male_adult_35_years_ENCDO006AAA,ENCSR000EIK,ENCFF599TLO,---,---,---,---,---,---
ENCFF985KOZ.bed.gz,GM19238,cell line,blood; bodily fluid,Homo_sapiens_GM19238_ENCDO000ACL,ENCSR000EJJ,ENCFF985KOZ,---,---,---,---,---,---
ENCFF132BMD.bed.gz,K562,cell line,blood; bodily fluid,Homo_sapiens_K562_treated_with_0.05%_dimethyl_sulfoxide_for_72_hours_ENCDO000AAD,ENCSR000EKO,ENCFF132BMD,---,---,---,---,---,---
ENCFF111TCY.bed.gz,AG08396,cell line,connective tissue; lung,Homo_sapiens_AG08396_ENCDO016AAA,ENCSR000EIW,ENCFF111TCY,---,---,---,---,---,---
ENCFF878ZQA.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_middle_frontal_area_46_tissue_female_adult_90_or_above_years_ENCDO081AHA,ENCSR865CYW,ENCFF878ZQA,---,---,---,---,---,---
ENCFF820UCJ.bed.gz,head of caudate nucleus,tissue,brain,"Homo_sapiens_with_Cognitive_impairment,_Alzheimer's_disease_head_of_caudate_nucleus_tissue_male_adult_73_years_ENCDO059BOC",ENCSR432QFU,ENCFF820UCJ,---,---,---,---,---,---
ENCFF441JLG.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO093CLS,ENCSR010SZN,ENCFF441JLG,---,---,---,---,---,---
ENCFF435JDA.bed.gz,germinal center,tissue,lymphoid tissue,Homo_sapiens_germinal_center_tissue_ENCDO187AAA,ENCSR000EIZ,ENCFF435JDA,---,---,---,---,---,---
ENCFF931NSL.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO150EBZ,ENCSR355PNF,ENCFF931NSL,---,---,---,---,---,---
ENCFF334FEV.bed.gz,K562,cell line,blood; bodily fluid,Homo_sapiens_K562_G2_phase_ENCDO000AAD,ENCSR000EKP,ENCFF334FEV,---,---,---,---,---,---
ENCFF016KGC.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO637GUS,ENCSR483HUW,ENCFF016KGC,---,---,---,---,---,---
ENCFF325KOH.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_posterior_cingulate_gyrus_tissue_female_adult_90_or_above_years_ENCDO597SRH,ENCSR955RQG,ENCFF325KOH,---,---,---,---,---,---
ENCFF978OBK.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Alzheimer's_disease_head_of_caudate_nucleus_tissue_female_adult_74_years_ENCDO907CMO,ENCSR042DVU,ENCFF978OBK,---,---,---,---,---,---
ENCFF503WXT.bed.gz,K562,cell line,blood; bodily fluid,Homo_sapiens_K562_G1_phase_ENCDO000AAD,ENCSR000EKQ,ENCFF503WXT,---,---,---,---,---,---
ENCFF798GHR.bed.gz,brain,tissue,brain,Homo_sapiens_brain_tissue_male_embryo_105_days_ENCDO908MUY,ENCSR420RWU,ENCFF798GHR,---,---,---,---,---,---
ENCFF110PNG.bed.gz,retina,tissue,eye,Homo_sapiens_retina_tissue_embryo_74_days_and_embryo_85_days_ENCDO539WIJ,ENCSR621ENC,ENCFF110PNG,---,---,---,---,---,---
ENCFF217MSL.bed.gz,left cardiac atrium,tissue,heart,Homo_sapiens_left_cardiac_atrium_tissue_female_adult_59_years_ENCDO856ZOJ,ENCSR032NNU,ENCFF217MSL,---,---,---,---,---,---
ENCFF482QJG.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_with_Cognitive_impairment_head_of_caudate_nucleus_tissue_female_adult_81_years_ENCDO077CCP,ENCSR639VTO,ENCFF482QJG,---,---,---,---,---,---
ENCFF469QBP.bed.gz,"CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD4-positive,_alpha-beta_T_cell_female_adult_26_years_treated_with_Interferon_gamma_for_1_hour_ENCDO134JGU",ENCSR336QAO,ENCFF469QBP,---,---,---,---,---,---
ENCFF097WPE_ENCFF264HCG.bed.gz,Calu3,cell line,,Homo_sapiens_Calu3_ENCDO109DGE,ENCSR366NBE,ENCFF097WPE,---,---,ENCSR976GAB,ENCFF264HCG,---,---
ENCFF289RUM.bed.gz,"CD4-positive, alpha-beta T cell",primary cell,blood; bodily fluid,"Homo_sapiens_CD4-positive,_alpha-beta_T_cell_female_adult_37_years_ENCDO514TDF",ENCSR567IWT,ENCFF289RUM,---,---,---,---,---,---
ENCFF855MTJ.bed.gz,head of caudate nucleus,tissue,brain,Homo_sapiens_head_of_caudate_nucleus_tissue_female_adult_90_or_above_years_ENCDO250PFZ,ENCSR637ZLM,ENCFF855MTJ,---,---,---,---,---,---
ENCFF686OEZ_ENCFF018QTQ_ENCFF461GFM_ENCFF072ETP.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_middle_frontal_area_46_tissue_female_adult_88_years_ENCDO151OJB,ENCSR785MXI,ENCFF686OEZ,ENCSR313IJX,ENCFF018QTQ,ENCSR116MKX,ENCFF461GFM,ENCSR244KEW,ENCFF072ETP
ENCFF820OSF.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_posterior_cingulate_gyrus_tissue_female_adult_90_or_above_years_ENCDO170MSG,ENCSR885ZBV,ENCFF820OSF,---,---,---,---,---,---
ENCFF874WYJ_ENCFF562LUZ_ENCFF489BZS_ENCFF729DUW.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_middle_frontal_area_46_tissue_female_adult_87_years_ENCDO640RUC,ENCSR571CJM,ENCFF874WYJ,ENCSR662BVK,ENCFF562LUZ,ENCSR004YQD,ENCFF489BZS,ENCSR610UDC,ENCFF729DUW
ENCFF052CPA_ENCFF198NDW_ENCFF371ZKC_ENCFF294XWZ.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_middle_frontal_area_46_tissue_female_adult_88_years_ENCDO669IVL,ENCSR351FWN,ENCFF052CPA,ENCSR768YDB,ENCFF198NDW,ENCSR344PHP,ENCFF371ZKC,ENCSR094PSL,ENCFF294XWZ
ENCFF278VYR_ENCFF971OSG_ENCFF238JTO_ENCFF264VOP.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_middle_frontal_area_46_tissue_female_adult_90_or_above_years_ENCDO153NUY,ENCSR498RLX,ENCFF278VYR,ENCSR497URO,ENCFF971OSG,ENCSR668DIS,ENCFF238JTO,ENCSR680WMF,ENCFF264VOP
ENCFF732ABI_ENCFF127DBK_ENCFF794RDI_ENCFF888DOQ.bed.gz,middle frontal area 46,tissue,brain,Homo_sapiens_with_mild_cognitive_impairment_middle_frontal_area_46_tissue_female_adult_87_years_ENCDO354SJE,ENCSR995YPS,ENCFF732ABI,ENCSR935EPK,ENCFF127DBK,ENCSR807TBS,ENCFF794RDI,ENCSR378BVM,ENCFF888DOQ
ENCFF435BEW.bed.gz,amniotic stem cell,primary cell,connective tissue; extraembryonic component,Homo_sapiens_amniotic_stem_cell_male_embryo_15_weeks_ENCDO942PSS,ENCSR207TUX,ENCFF435BEW,---,---,---,---,---,---
ENCFF459TMW.bed.gz,posterior cingulate gyrus,tissue,brain,Homo_sapiens_posterior_cingulate_gyrus_tissue_male_adult_83_years_ENCDO592ZWW,ENCSR510GRY,ENCFF459TMW,---,---,---,---,---,---
ENCFF884POL.bed.gz,H9,cell line,embryo,"Homo_sapiens_H9_G1b_phase_stably_expressing_CDT1,_stably_expressing_GMNN_ENCDO222AAA",ENCSR964WHY,ENCFF884POL,---,---,---,---,---,---
ENCFF615BRP_ENCFF902HIA_ENCFF375YPQ_ENCFF033FEG.bed.gz,lower lobe of left lung,tissue,lung,Homo_sapiens_lower_lobe_of_left_lung_tissue_female_adult_59_years_ENCDO856ZOJ,ENCSR632ONQ,ENCFF615BRP,ENCSR791BWS,ENCFF902HIA,ENCSR313CEH,ENCFF375YPQ,ENCSR133AFF,ENCFF033FEG
