cCRE File,Biosample Slim,Biosample type,Organ,Biosample summary + donor,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig
ENCFF447YDA_ENCFF712FDJ_ENCFF109WCV_ENCFF962LOU.bed.gz,mesothelial cell of epicardium,in vitro differentiated cells,epithelium; heart; pericardium,Homo_sapiens_mesothelial_cell_of_epicardium_ENCDO222AAA,ENCSR945KSP,ENCFF447YDA,ENCSR884LIO,ENCFF712FDJ,ENCSR432LMR,ENCFF109WCV,ENCSR647SQF,ENCFF962LOU
ENCFF647HDA_ENCFF530MCT_ENCFF370QKJ_ENCFF973VNM.bed.gz,type B pancreatic cell,in vitro differentiated cells,endocrine gland; epithelium; pancreas,Homo_sapiens_type_B_pancreatic_cell_ENCDO222AAA,ENCSR362ZFC,ENCFF647HDA,ENCSR943STF,ENCFF530MCT,ENCSR554KDG,ENCFF370QKJ,ENCSR458PYQ,ENCFF973VNM
ENCFF529BOG.bed.gz,HEK293T,cell line,epithelium; kidney,Homo_sapiens_HEK293T_ENCDO000ABF,ENCSR000EJR,ENCFF529BOG,---,---,---,---,---,---
ENCFF736FHB_ENCFF857KTM_ENCFF306ZMK.bed.gz,WTC11,cell line,connective tissue; skin of body,Homo_sapiens_WTC11_ENCDO882UJI,ENCSR785ZUI,ENCFF736FHB,ENCSR549BTS,ENCFF857KTM,ENCSR146DPQ,ENCFF306ZMK,---,---
ENCFF015PVH_ENCFF917FEY_ENCFF683EOM.bed.gz,AG09319,cell line,connective tissue; mouth,Homo_sapiens_AG09319_ENCDO373ZSZ,ENCSR000EMA,ENCFF015PVH,ENCSR000DPU,ENCFF917FEY,---,---,ENCSR000DPS,ENCFF683EOM
ENCFF691MRD_ENCFF578UKA_ENCFF564FON.bed.gz,GM06990,cell line,blood; bodily fluid,Homo_sapiens_GM06990_ENCDO000ABG,ENCSR000EMQ,ENCFF691MRD,ENCSR000DQV,ENCFF578UKA,---,---,ENCSR000DQW,ENCFF564FON
ENCFF825CEN_ENCFF387KUV_ENCFF080HIA.bed.gz,AG10803,cell line,connective tissue; skin of body,Homo_sapiens_AG10803_ENCDO442SWC,ENCSR000EMB,ENCFF825CEN,ENCSR000DPX,ENCFF387KUV,---,---,ENCSR000DPV,ENCFF080HIA
ENCFF484WUK_ENCFF237UYF_ENCFF449WXS.bed.gz,HFF-Myc,cell line,connective tissue; penis,Homo_sapiens_HFF-Myc_originated_from_foreskin_fibroblast_ENCDO232AAA,ENCSR000ENR,ENCFF484WUK,ENCSR000DUK,ENCFF237UYF,---,---,ENCSR000DUM,ENCFF449WXS
ENCFF431JDU_ENCFF964OOU_ENCFF787LMI_ENCFF388PVO.bed.gz,HCT116,cell line,colon; epithelium; intestine; large intestine,Homo_sapiens_HCT116_ENCDO000ABE,ENCSR000ENM,ENCFF431JDU,ENCSR000DTQ,ENCFF964OOU,ENCSR661KMA,ENCFF787LMI,ENCSR000DTO,ENCFF388PVO
ENCFF428XFI_ENCFF280PUF_ENCFF469WVA_ENCFF644EEX.bed.gz,GM12878,cell line,blood; bodily fluid,Homo_sapiens_GM12878_ENCDO000AAK,ENCSR000EMT,ENCFF428XFI,ENCSR000DRY,ENCFF280PUF,ENCSR000AKC,ENCFF469WVA,ENCSR000DRZ,ENCFF644EEX
ENCFF915KQY_ENCFF541YOS_ENCFF906XOP.bed.gz,epithelial cell of esophagus,primary cell,epithelium; esophagus,Homo_sapiens_epithelial_cell_of_esophagus_ENCDO104AAA,ENCSR000ENN,ENCFF915KQY,ENCSR000DTT,ENCFF541YOS,---,---,ENCSR000DTR,ENCFF906XOP
ENCFF085GPE.bed.gz,T47D,cell line,epithelium; exocrine gland; mammary gland,Homo_sapiens_T47D_ENCDO000ABA,ENCSR000EQB,ENCFF085GPE,---,---,---,---,---,---
ENCFF724UXE_ENCFF045KEG_ENCFF193CJN.bed.gz,cardiac muscle cell,primary cell,heart; musculature of body,Homo_sapiens_cardiac_muscle_cell_ENCDO330AAA,ENCSR000ENJ,ENCFF724UXE,ENCSR000DTK,ENCFF045KEG,---,---,ENCSR000DTI,ENCFF193CJN
ENCFF715SIC_ENCFF312UWU.bed.gz,D721Med,cell line,brain,Homo_sapiens_D721Med_ENCDO000ACZ,ENCSR000ELA,ENCFF715SIC,---,---,---,---,ENCSR000DMY,ENCFF312UWU
ENCFF280RMA_ENCFF651WOM_ENCFF262UEH_ENCFF850MLW.bed.gz,SK-N-SH,cell line,brain,Homo_sapiens_SK-N-SH_ENCDO000ABD,ENCSR000ELQ,ENCFF280RMA,ENCSR000FCS,ENCFF651WOM,ENCSR564IGJ,ENCFF262UEH,ENCSR541AMF,ENCFF850MLW
ENCFF836MHB_ENCFF223PYO_ENCFF874ELT.bed.gz,epithelial cell of proximal tubule,primary cell,epithelium; kidney,Homo_sapiens_epithelial_cell_of_proximal_tubule_ENCDO103AAA,ENCSR000EPW,ENCFF836MHB,ENCSR000DXF,ENCFF223PYO,---,---,ENCSR000DXD,ENCFF874ELT
